schedule|googlelink|marketname|products|address|id
 <br> <br> <br> |http://maps.google.com/?q=48.5041%2C%20-111.856%20(%22Shelby+Food+and+Craft+Market%22)|Shelby Food and Craft Market||City Hall park, Shelby, Montana, 59474|1000001
05/31/2014 to 10/31/2014 Tue: 3:00 PM-6:30 PM;Fri: 8:00 AM-1:00 PM;<br> <br> <br> |http://maps.google.com/?q=43.4060489%2C%20-85.0375810%20(%22Edmore+Farmers+Market%22)|Edmore Farmers Market|Baked goods; Crafts and/or woodworking items; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Nuts; Plants in containers; Prepared foods (for immediate consumption); Soap and/or body care products|Corner of Lewis Street and Pine Street, Edmore, Michigan, 48829|1000003
05/01/2011 to 09/31/2011 <br> <br> <br> |http://maps.google.com/?q=47.7382%2C%20-121.986%20(%22Duvall+Farmers+Market%22)|Duvall Farmers Market||Brown Avenue, Duvall, Washington, 98019|1000004
 <br> <br> <br> |http://maps.google.com/?q=34.0626%2C%20-118.445%20(%22Westwood+Village+Farmers+Market%22)|Westwood Village Farmers Market||Weyburn Ave. & Westwood Blvd., Los Angeles, California, 90024|1000006
 <br> <br> <br> |http://maps.google.com/?q=34.4378%2C%20-119.747%20(%22Santa+Barbara+La+Cumbre+Farmers+Market%22)|Santa Barbara La Cumbre Farmers Market||110 South Hope Avenue, Santa Barbara, California, 93101|1000007
05/10/2014 to 10/25/2014 Sat: 8:30 AM-1:00 PM;<br>11/01/2014 to 12/01/2014 Sat: 10:00 AM-1:00 PM;<br> <br> |http://maps.google.com/?q=38.479085%2C%20-107.874915%20(%22Montrose+Farmers+Market%22)|Montrose Farmers Market|Baked goods; Crafts and/or woodworking items; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Plants in containers; Prepared foods (for immediate consumption); Soap and/or body care products; Wine, beer, hard cider| South 1st Street and Uncompahgre by Centennial Plaza, Montrose, Colorado, 81401|1000008
06/14/2014 to 10/11/2014 Sat: 8:00 AM-12:00 PM;<br> <br> <br> |http://maps.google.com/?q=42.994023%2C%20-87.882128%20(%22South+Shore+Farmers+Market%22)|South Shore Farmers Market|Baked goods; Cheese and/or dairy products; Cut flowers; Eggs; Fish and/or seafood; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Poultry; Prepared foods (for immediate consumption); Trees, shrubs|2900 South Shore Drive, Bay View, Wisconsin, 53207|1000009
04/01/2012 to 10/31/2012 <br> <br> <br> |http://maps.google.com/?q=33.452713%2C%20-79.122570%20(%22Pawleys+Island+Farmers+Market%22)|Pawleys Island Farmers Market||Pawleys Island, South Carolina, 29585|1000010
04/01/2012 to 10/31/2012 <br> <br> <br> |http://maps.google.com/?q=33.359961%2C%20-79.276485%20(%22Georgetown+County+Farmers+Market%22)|Georgetown County Farmers Market||310 Greenwich Drive, Georgetown, South Carolina, 29440|1000011
05/20/2014 to 10/31/2014 Tue: 10:30 AM-2:00 PM;Fri: 10:30 AM-2:00 PM;<br> <br> <br> |http://maps.google.com/?q=39.963044%2C%20-82.999864%20(%22Pearl+Market%22)|Pearl Market|Baked goods; Cheese and/or dairy products; Crafts and/or woodworking items; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Maple syrup and/or maple products; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products|Lynn & Pearl Alleys next to the Rhodes State Office Tower at 30 E. Broad St., Columbus, Ohio, 43215|1000012
05/01/2014 to 11/27/2014 Thu: 3:00 PM-7:00 PM;<br> <br> <br> |http://maps.google.com/?q=39.9175314%2C%20-75.3867127%20(%22Media+Farmers+Market%22)|Media Farmers Market|Baked goods; Cheese and/or dairy products; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.; Meat; Plants in containers; Poultry; Prepared foods (for immediate consumption); Soap and/or body care products; Wine, beer, hard cider| State & Gayley Streets, Media, Pennsylvania, 19063|1000013
 <br> <br> <br> |http://maps.google.com/?q=31.6228%2C%20-111.055%20(%22Tubac+Farmers+Market%22)|Tubac Farmers Market||Tubac Plaza, Exit 34 - I-19, Tubac, Arizona, 85646|1000014
 <br> <br> <br> |http://maps.google.com/?q=38.2651%2C%20-104.613%20(%22Evening+Farmer's+Market+on+the+Riverwalk%22)|Evening Farmer''s Market on the Riverwalk||101 S. Union Ave, Pueblo, Colorado, 81003|1000015
05/01/2012 to 10/31/2012 <br> <br> <br> |http://maps.google.com/?q=33.421527%2C%20-94.045817%20(%22Texarkana%2c+Texas+Farmers'+Market%22)|Texarkana, Texas Farmers'' Market||305 Texas Boulevard, Texarkana, Texas, 75501|1000016
 <br> <br> <br> |http://maps.google.com/?q=37.2417%2C%20-119.601%20(%22Sunday+Civic+Center+Farmers+Market%22)|Sunday Civic Center Farmers Market||3501 Civic Center Drive, San Fafael, California, 94903|1000018
04/01/2011 to 11/31/2011 <br> <br> <br> |http://maps.google.com/?q=36.0981%2C%20-80.2413%20(%22Cobblestone+Farmer's+Market%22)|Cobblestone Farmer''s Market|| E. Third Street and Patterson, Winston-Salem, North Carolina, 27101|1000020
05/03/2014 to 10/07/2014 <br> <br> <br> |http://maps.google.com/?q=34.373647%2C%20-89.516816%20(%22Mid-Town+Farmers+Market%22)|Mid-Town Farmers Market|Baked goods; Cut flowers; Eggs; Fresh fruit and vegetables; Fresh and/or dried herbs; Honey; Canned or preserved fruits, vegetables, jams, jellies, preserves, salsas, pickles, dried fruit, etc.|700 North Lamar Blvd., Oxford, Mississippi, 38655|1000021
01/01/2012 to 12/31/2012 <br> <br> <br> |http://maps.google.com/?q=35.2144090%2C%20-80.8269849%20(%22Elizabeth+Avenue+Farmers+Market%22)|Elizabeth Avenue Farmers Market||1521 Elizabeth Ave, Charlotte, North Carolina, 28204|1000022
01/01/2012 to 12/31/2012 <br> <br> <br> |http://maps.google.com/?q=35.4233280%2C%20-80.7855537%20(%22Bradford+Store%22)|Bradford Store||15915 Davidson Concord Rd, Huntersville, North Carolina, 28078|1000023
